"","geneID","order","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACT28195-1","ACT28195-1",1136,6.24880758631367,-0.0766136538172106,0.30016030480728,3.74934584992006,0.153405133630543,0.391197168658727
"ACT31076-1","ACT31076-1",3955,8.69868300884441,0.106032825424947,0.29595109444197,3.74622222724652,0.153644910701901,0.391197168658727
"ACT27534-1","ACT27534-1",436,22.2478522743818,-0.028595135484873,0.198188090070833,3.74405507492843,0.153811486896794,0.391267522223462
"ACT29317-1","ACT29317-1",2230,1.92252332905462,0.849293805113776,0.513305904743914,3.73941740883454,0.154168563896584,0.391821909686624
"ACT28864-1","ACT28864-1",1796,4.68043531013257,0.271793145708829,0.369411923197462,3.72716601192701,0.155115852469955,0.393873977056261
"ACT28459-1","ACT28459-1",1397,2.06300063576929,-1.11932520336233,0.661532372216343,3.72493234094058,0.155289188135248,0.39395887728726
"ACT29702-1","ACT29702-1",2605,1.06630684444428,-1.46325321061344,0.879318077327893,3.72101410760559,0.15559371597739,0.394376151388235
"ACT28219-1","ACT28219-1",1159,7.14629968182985,-0.131517019258534,0.356236765959055,3.71511418693541,0.156053388943071,0.395185560488927
"ACT30801-1","ACT30801-1",3680,3.66185161839622,0.517255073642931,0.506994976871407,3.70922403724286,0.156513655280253,0.39599501641437
"ACT28927-1","ACT28927-1",1858,3.0159032295775,-0.289821474629485,0.479932142294736,3.70552511193618,0.156803389283955,0.396093660177528
"ACT29485-1","ACT29485-1",2395,0.962271356246688,-0.670016705008963,0.987947278416264,3.70513522695391,0.15683395990694,0.396093660177528
"ACT28044-1","ACT28044-1",966,7.01565786299472,0.00480584805710365,0.294586059102841,3.6905617052435,0.157980945295766,0.397288173890839
"ACT28562-1","ACT28562-1",1490,1.48978318096224,0.300150406135034,0.830236843528358,3.69016427157623,0.158012341888402,0.397288173890839
"ACT30409-1","ACT30409-1",3277,25.6264256358018,0.295729659322827,0.166937140484465,3.69604341576473,0.15754853524815,0.397288173890839
"ACT31230-1","ACT31230-1",4116,5.19587335934824,-0.301428923287916,0.373759694676486,3.69393102559758,0.157715025143932,0.397288173890839
"ACT31235-1","ACT31235-1",4121,1.21624660949549,0.27492213861688,0.696332837374477,3.69353459447827,0.157746289814376,0.397288173890839
"ACT28033-1","ACT28033-1",956,68.0001814055941,0.0723345789719918,0.237624676631447,3.686493534302,0.158302619086328,0.397588820661502
"ACT30054-1","ACT30054-1",2946,5.07701082498381,-0.25258274282982,0.408541437504368,3.68508310567768,0.158414295732317,0.397588820661502
"ACT29319-1","ACT29319-1",2232,5.86411117120451,0.135448980373839,0.310268457447204,3.67223869853883,0.159434938467519,0.399794111063698
"ACT28529-1","ACT28529-1",1460,20.3549545837708,0.151880080074296,0.171971224822612,3.66944220431269,0.159658023837846,0.399997326625777
"ACT28633-1","ACT28633-1",1560,4.41379041894865,-0.733261073137718,0.421550314588096,3.65870780385752,0.160517244160863,0.40179249738399
"ACT27390-1","ACT27390-1",296,10.6904973521705,0.239817154471551,0.238540791562865,3.65434496066179,0.160867782140659,0.401955345614993
"ACT31191-1","ACT31191-1",4073,3.10221076894574,0.306883017421778,0.541724636163376,3.65556109063745,0.160769993808513,0.401955345614993
