"","geneID","order","baseMean","logFC.Conditionparaquat","logFC.Conditiontransient","logCPM","F","PValue","padj"
"ACT31278-1","ACT31278-1",4170,3.9070870771273,-1.49739775234655,-0.387938940970722,9.73856653305172,14.2631703373196,6.41188145147694e-07,4.41578917666469e-05
"EBG00001118677-1","EBG00001118677-1",3856,4.5322050009139,1.42302241903965,0.729450869049568,8.94429421111166,14.1565793573925,7.13274158915787e-07,4.83300764775036e-05
"ACT30415-1","ACT30415-1",3283,2.61225444371946,-2.13637421489311,-1.44641385856032,8.19841995753702,13.9409622397634,8.84822341527701e-07,5.90022009009186e-05
"ACT27185-1","ACT27185-1",103,1.44113909166371,-2.2276406233756,-0.469314503887161,8.89508878777113,13.8894352097664,9.31588472531797e-07,6.09153743649458e-05
"ACT28492-1","ACT28492-1",1430,2.77268533784143,-1.56722313073711,-0.721803951458595,9.29116056163461,13.8777709631504,9.42513528617348e-07,6.09153743649458e-05
"ACT29258-1","ACT29258-1",2180,8.02950643495941,-1.17221677547424,-0.7167580029179,9.82674063351556,13.7336165036948,1.08859330503352e-06,6.92906132491789e-05
"ACT30888-1","ACT30888-1",3762,1.95614476294238,-1.15972041736869,-0.340127685490612,10.3172764979804,13.6783679617617,1.15040129743203e-06,7.21318783658498e-05
"EBG00001118716-1","EBG00001118716-1",4024,26.1509476688232,2.04806771577903,1.77982953364484,7.46867038340294,13.563854298651,1.28991330993945e-06,7.96900855155242e-05
"ACT29688-1","ACT29688-1",2591,37.0036315479168,0.718496459733794,0.332374735874753,11.792252795865,13.3865432557807,1.54004287511236e-06,9.37640596861886e-05
"ACT28855-1","ACT28855-1",1787,10.8446398893668,-1.45394782085113,-1.27880761821416,8.66873428528225,13.2139996858336,1.82993605171749e-06,0.000109822305046646
"ACT30450-1","ACT30450-1",3325,31.6380541882733,-0.865761277179949,-0.290213979918827,11.2072087944626,12.9628091256673,2.35223815022308e-06,0.000139179612240664
"ACT28773-1","ACT28773-1",1702,50.3951640862699,-1.74598832145175,-0.624391450391032,9.0920002486292,12.8813619886748,2.55175415412153e-06,0.000148887766687008
"ACT27505-1","ACT27505-1",407,30.7352210039491,-2.39448038342833,-0.772498371180748,8.49157461172419,12.7207143239119,2.99625581856903e-06,0.000172428365668609
"ACT27203-1","ACT27203-1",120,13.3400731805917,0.912665474910255,0.540046495125205,10.3409310104631,12.6919522455475,3.08364991461149e-06,0.00017505963907139
"ACT29611-1","ACT29611-1",2517,1.68810699660117,-1.75019346340043,-1.02910935515847,8.65261845077128,12.5399680765944,3.58958741503548e-06,0.000201064756407521
"ACT30639-1","ACT30639-1",3518,1.67035866361079,-2.96161344990077,-1.71855605433403,7.64236734796114,12.4533363483448,3.91429270901697e-06,0.000216367679876057
"ACT27088-1","ACT27088-1",7,1.78263641215669,0.730147116074442,0.745349281441452,10.3567977457474,12.3184926251571,4.47911457287004e-06,0.000244373510657494
"ACT28620-1","ACT28620-1",1546,1.73246427629138,-0.8927374049306,-0.938399014814218,9.57754116754695,12.1348363300186,5.38173299763656e-06,0.000289854619526554
"ACT27188-1","ACT27188-1",106,3.37500361939895,0.931265734933796,0.56584662491485,10.1146570599506,12.080447624701,5.68242599750039e-06,0.000299198656628118
"ACT30376-1","ACT30376-1",3248,1.30506317622838,-1.08265652365445,-0.30628502731417,10.3378690700188,12.0777683319947,5.6976654440013e-06,0.000299198656628118
"EBG00001118603-1","EBG00001118603-1",4014,1.26122245622055,2.78965573421264,-2.77156819463462,6.21649043577477,12.0323123144339,5.96253157659271e-06,0.000309241915472419
"ACT27510-1","ACT27510-1",412,3.41968621740951,-0.896921533564756,-0.45461946049834,10.6616856581042,11.9134173627101,6.71500745928162e-06,0.000344021296785879
"ACT29438-1","ACT29438-1",2354,8.19493323944459,-1.40823176953083,-0.576012125523183,9.42400275575476,11.8775145831498,6.96038069642007e-06,0.000352295895248924
"ACT29725-1","ACT29725-1",2629,25.1632892263111,-1.70408957636666,-0.571680691710547,9.07291637858193,11.8639699336064,7.05526198312084e-06,0.000352847090370127
"ACT27381-1","ACT27381-1",287,1.5054766199983,2.25953908672026,1.07925836183861,7.3098719036122,11.8087847493675,7.45539685119811e-06,0.000368472025551568
"ACT30170-1","ACT30170-1",3046,12.636707668412,-1.22995246847778,-1.32571037027616,8.57665316864883,11.6733008335505,8.5366753370738e-06,0.000417006663849384
"ACT27479-1","ACT27479-1",382,10.4576627373176,-1.4199270766432,-0.751330165500635,9.15406128461715,11.6153007615872,9.04624968040139e-06,0.000435360929240333
"ACT29640-1","ACT29640-1",2546,2.34403044626361,-3.33122722349695,-2.19357468424605,7.26750228202532,11.6072137015217,9.11967668963325e-06,0.000435360929240333
"ACT28823-1","ACT28823-1",1754,2.50694669052609,-1.11372601700571,-0.888840249570148,9.3271792289222,11.5667545283175,9.4960759221124e-06,0.000448236123020159
"ACT30847-1","ACT30847-1",3719,4.36562626371677,-1.57877331280272,-0.531306211598019,9.19902409897785,11.5146328872509,1.00039619464619e-05,0.000466962712634296
"ACT28624-1","ACT28624-1",1550,4.58530199402147,-0.717492867796719,-0.0494274378513864,11.6130252542697,11.4158919977571,1.10417791297584e-05,0.000509741913451815
"ACT30589-1","ACT30589-1",3466,3.78506929908398,-1.17131019221447,-0.16205474112523,10.0566228636908,11.3570355198016,1.17109159787842e-05,0.000534756065509482
"ACT27502-1","ACT27502-1",404,8.50468614868985,-0.951953174093243,-1.07853712786898,9.06945675080748,11.1039139094073,1.50827667438069e-05,0.000681319388072395
"ACT29644-1","ACT29644-1",2550,41.1706116137649,-0.770430181866,-2.43517749485161,7.69786998404446,11.046979647612,1.59660895858641e-05,0.000710320996610571
"ACT31086-1","ACT31086-1",3965,1.29185455048296,1.70710779187942,0.760610081012442,8.00711189269007,11.0409286034027,1.60629599328741e-05,0.000710320996610571
"ACT28576-1","ACT28576-1",1504,3.02135519486468,-3.4402442131309,-1.81943565363159,7.35695099911331,11.0246499795024,1.632648967108e-05,0.000714453990710489
"ACT27560-1","ACT27560-1",472,2.48969722702157,-0.43218600378446,-1.72636321706454,8.33683375059782,10.8561077703459,1.93225465346251e-05,0.000836845546308864
"ACT27538-1","ACT27538-1",440,2.94740648800289,-0.805688883211121,-0.196788001706968,11.1218910707265,10.8015648483745,2.04053436631948e-05,0.000874722946215118
"ACT29653-1","ACT29653-1",2559,3.51471073330236,-1.11770952011821,-0.794764945388224,9.33447045021651,10.6689005236981,2.32991283387577e-05,0.000988683213647689
"ACT30563-1","ACT30563-1",3442,3.99952495825248,-1.45054078664673,-0.622090148665141,9.14784058606518,10.6130289595238,2.46374748252416e-05,0.0010350203174084
"ACT27150-1","ACT27150-1",68,29.8001607584283,-1.35879224189992,-0.727016369632797,9.11627667521096,10.5533246043986,2.61527136659322e-05,0.00105641875106328
"ACT29831-1","ACT29831-1",2731,13.5896505668875,-0.719362648019223,-0.787954532593208,9.96645221007302,10.5742264463143,2.56119264990952e-05,0.00105641875106328
"ACT29936-1","ACT29936-1",2827,21.3773856190647,-0.856871405658679,-0.14593626126829,10.8565338908999,10.5535242231383,2.61474953629132e-05,0.00105641875106328
"ACT31032-1","ACT31032-1",3901,7.5414554776212,-1.14144049577651,-0.928942312298778,9.07937172173848,10.5556044155715,2.60931782509732e-05,0.00105641875106328
"ACT28184-1","ACT28184-1",1122,7.32051103461952,1.14346275360773,0.466747446155242,9.24268743595371,10.5203636565253,2.70287979096937e-05,0.0010814093335107
"ACT27526-1","ACT27526-1",428,42.984593123963,-0.806378973307106,-0.338223663658304,10.9535072008571,10.4928400117773,2.77828064551249e-05,0.00108773055240062
"ACT28532-1","ACT28532-1",1463,6.20705588224885,-0.914644928199525,-0.579148140805423,10.1136167801874,10.4863531107226,2.79635562150125e-05,0.00108773055240062
"ACT29992-1","ACT29992-1",2882,17.036719444994,-1.89387313206769,-0.757227115553367,8.56835267369295,10.4922225602658,2.77999605737253e-05,0.00108773055240062
"ACT28332-1","ACT28332-1",1265,8.2835659219398,-0.926860504190515,-0.187978529439057,10.5756145784056,10.4084481979944,3.02283790833159e-05,0.00114164689456982
"ACT29830-1","ACT29830-1",2730,26.1026676138481,2.13189771373226,0.720585329976481,7.30523928327114,10.4015789747573,3.04366703622519e-05,0.00114164689456982
"ACT30186-1","ACT30186-1",3063,22.8865983400106,-1.19127195022697,-0.450114744106242,9.71375727277416,10.4284702430196,2.9629359989751e-05,0.00114164689456982
"ACT30286-1","ACT30286-1",3164,36.1993781056946,-1.46430343954128,-0.323275393550672,9.35351893143151,10.4166181779278,2.99825008673659e-05,0.00114164689456982
"ACT30171-1","ACT30171-1",3047,8.76924451187061,-0.360000475956718,-1.47384929056477,8.65110750697033,10.3630826458426,3.16308146053868e-05,0.00117593851466575
"ACT28241-1","ACT28241-1",1184,13.2076682610269,0.836194712448114,0.328428964885189,10.3762119738975,10.3481055878059,3.21079585181225e-05,0.00118320643626871
